ID,CV method
7,"General purpose image/video tools (PIL, cv2, skimage, etc)"
9,"General purpose image/video tools (PIL, cv2, skimage, etc)"
24,"General purpose image/video tools (PIL, cv2, skimage, etc)"
28,"General purpose image/video tools (PIL, cv2, skimage, etc)"
34,"General purpose image/video tools (PIL, cv2, skimage, etc)"
56,"General purpose image/video tools (PIL, cv2, skimage, etc)"
57,"General purpose image/video tools (PIL, cv2, skimage, etc)"
80,"General purpose image/video tools (PIL, cv2, skimage, etc)"
81,"General purpose image/video tools (PIL, cv2, skimage, etc)"
83,"General purpose image/video tools (PIL, cv2, skimage, etc)"
98,"General purpose image/video tools (PIL, cv2, skimage, etc)"
102,"General purpose image/video tools (PIL, cv2, skimage, etc)"
105,"General purpose image/video tools (PIL, cv2, skimage, etc)"
108,"General purpose image/video tools (PIL, cv2, skimage, etc)"
114,"General purpose image/video tools (PIL, cv2, skimage, etc)"
135,"General purpose image/video tools (PIL, cv2, skimage, etc)"
151,"General purpose image/video tools (PIL, cv2, skimage, etc)"
152,"General purpose image/video tools (PIL, cv2, skimage, etc)"
155,"General purpose image/video tools (PIL, cv2, skimage, etc)"
200,"General purpose image/video tools (PIL, cv2, skimage, etc)"
222,"General purpose image/video tools (PIL, cv2, skimage, etc)"
225,"General purpose image/video tools (PIL, cv2, skimage, etc)"
228,"General purpose image/video tools (PIL, cv2, skimage, etc)"
233,"General purpose image/video tools (PIL, cv2, skimage, etc)"
235,"General purpose image/video tools (PIL, cv2, skimage, etc)"
236,"General purpose image/video tools (PIL, cv2, skimage, etc)"
252,"General purpose image/video tools (PIL, cv2, skimage, etc)"
258,"General purpose image/video tools (PIL, cv2, skimage, etc)"
263,"General purpose image/video tools (PIL, cv2, skimage, etc)"
271,"General purpose image/video tools (PIL, cv2, skimage, etc)"
281,"General purpose image/video tools (PIL, cv2, skimage, etc)"
283,"General purpose image/video tools (PIL, cv2, skimage, etc)"
286,"General purpose image/video tools (PIL, cv2, skimage, etc)"
297,"General purpose image/video tools (PIL, cv2, skimage, etc)"
304,"General purpose image/video tools (PIL, cv2, skimage, etc)"
307,"General purpose image/video tools (PIL, cv2, skimage, etc)"
313,"General purpose image/video tools (PIL, cv2, skimage, etc)"
336,"General purpose image/video tools (PIL, cv2, skimage, etc)"
338,"General purpose image/video tools (PIL, cv2, skimage, etc)"
361,"General purpose image/video tools (PIL, cv2, skimage, etc)"
378,"General purpose image/video tools (PIL, cv2, skimage, etc)"
382,"General purpose image/video tools (PIL, cv2, skimage, etc)"
