ID,Cloud Computing Product
8, Amazon Elastic Compute Cloud (EC2) 
13, Amazon Elastic Compute Cloud (EC2) 
17, Amazon Elastic Compute Cloud (EC2) 
29, Amazon Elastic Compute Cloud (EC2) 
41, Amazon Elastic Compute Cloud (EC2) 
43, Amazon Elastic Compute Cloud (EC2) 
57, Amazon Elastic Compute Cloud (EC2) 
63, Amazon Elastic Compute Cloud (EC2) 
81, Amazon Elastic Compute Cloud (EC2) 
83, Amazon Elastic Compute Cloud (EC2) 
110, Amazon Elastic Compute Cloud (EC2) 
127, Amazon Elastic Compute Cloud (EC2) 
136, Amazon Elastic Compute Cloud (EC2) 
139, Amazon Elastic Compute Cloud (EC2) 
159, Amazon Elastic Compute Cloud (EC2) 
185, Amazon Elastic Compute Cloud (EC2) 
200, Amazon Elastic Compute Cloud (EC2) 
210, Amazon Elastic Compute Cloud (EC2) 
236, Amazon Elastic Compute Cloud (EC2) 
240, Amazon Elastic Compute Cloud (EC2) 
261, Amazon Elastic Compute Cloud (EC2) 
268, Amazon Elastic Compute Cloud (EC2) 
273, Amazon Elastic Compute Cloud (EC2) 
289, Amazon Elastic Compute Cloud (EC2) 
318, Amazon Elastic Compute Cloud (EC2) 
336, Amazon Elastic Compute Cloud (EC2) 
370, Amazon Elastic Compute Cloud (EC2) 
378, Amazon Elastic Compute Cloud (EC2) 
394, Amazon Elastic Compute Cloud (EC2) 
399, Amazon Elastic Compute Cloud (EC2) 
415, Amazon Elastic Compute Cloud (EC2) 
417, Amazon Elastic Compute Cloud (EC2) 
425, Amazon Elastic Compute Cloud (EC2) 
433, Amazon Elastic Compute Cloud (EC2) 
448, Amazon Elastic Compute Cloud (EC2) 
449, Amazon Elastic Compute Cloud (EC2) 
454, Amazon Elastic Compute Cloud (EC2) 
460, Amazon Elastic Compute Cloud (EC2) 
557, Amazon Elastic Compute Cloud (EC2) 
558, Amazon Elastic Compute Cloud (EC2) 
568, Amazon Elastic Compute Cloud (EC2) 
569, Amazon Elastic Compute Cloud (EC2) 
580, Amazon Elastic Compute Cloud (EC2) 
610, Amazon Elastic Compute Cloud (EC2) 
616, Amazon Elastic Compute Cloud (EC2) 
621, Amazon Elastic Compute Cloud (EC2) 
626, Amazon Elastic Compute Cloud (EC2) 
633, Amazon Elastic Compute Cloud (EC2) 
634, Amazon Elastic Compute Cloud (EC2) 
643, Amazon Elastic Compute Cloud (EC2) 
652, Amazon Elastic Compute Cloud (EC2) 
705, Amazon Elastic Compute Cloud (EC2) 
740, Amazon Elastic Compute Cloud (EC2) 
772, Amazon Elastic Compute Cloud (EC2) 
778, Amazon Elastic Compute Cloud (EC2) 
786, Amazon Elastic Compute Cloud (EC2) 
791, Amazon Elastic Compute Cloud (EC2) 
797, Amazon Elastic Compute Cloud (EC2) 
826, Amazon Elastic Compute Cloud (EC2) 
836, Amazon Elastic Compute Cloud (EC2) 
866, Amazon Elastic Compute Cloud (EC2) 
867, Amazon Elastic Compute Cloud (EC2) 
874, Amazon Elastic Compute Cloud (EC2) 
886, Amazon Elastic Compute Cloud (EC2) 
913, Amazon Elastic Compute Cloud (EC2) 
928, Amazon Elastic Compute Cloud (EC2) 
932, Amazon Elastic Compute Cloud (EC2) 
945, Amazon Elastic Compute Cloud (EC2) 
952, Amazon Elastic Compute Cloud (EC2) 
998, Amazon Elastic Compute Cloud (EC2) 
1014, Amazon Elastic Compute Cloud (EC2) 
1019, Amazon Elastic Compute Cloud (EC2) 
1034, Amazon Elastic Compute Cloud (EC2) 
1043, Amazon Elastic Compute Cloud (EC2) 
1045, Amazon Elastic Compute Cloud (EC2) 
1059, Amazon Elastic Compute Cloud (EC2) 
1067, Amazon Elastic Compute Cloud (EC2) 
1072, Amazon Elastic Compute Cloud (EC2) 
1073, Amazon Elastic Compute Cloud (EC2) 
1080, Amazon Elastic Compute Cloud (EC2) 
