ID,Important task
7,Analyze and understand data to influence product or business decisions
16,Analyze and understand data to influence product or business decisions
17,Analyze and understand data to influence product or business decisions
20,Analyze and understand data to influence product or business decisions
25,Analyze and understand data to influence product or business decisions
29,Analyze and understand data to influence product or business decisions
32,Analyze and understand data to influence product or business decisions
35,Analyze and understand data to influence product or business decisions
40,Analyze and understand data to influence product or business decisions
45,Analyze and understand data to influence product or business decisions
57,Analyze and understand data to influence product or business decisions
75,Analyze and understand data to influence product or business decisions
83,Analyze and understand data to influence product or business decisions
84,Analyze and understand data to influence product or business decisions
97,Analyze and understand data to influence product or business decisions
98,Analyze and understand data to influence product or business decisions
102,Analyze and understand data to influence product or business decisions
110,Analyze and understand data to influence product or business decisions
121,Analyze and understand data to influence product or business decisions
127,Analyze and understand data to influence product or business decisions
133,Analyze and understand data to influence product or business decisions
135,Analyze and understand data to influence product or business decisions
136,Analyze and understand data to influence product or business decisions
142,Analyze and understand data to influence product or business decisions
143,Analyze and understand data to influence product or business decisions
150,Analyze and understand data to influence product or business decisions
154,Analyze and understand data to influence product or business decisions
162,Analyze and understand data to influence product or business decisions
163,Analyze and understand data to influence product or business decisions
177,Analyze and understand data to influence product or business decisions
185,Analyze and understand data to influence product or business decisions
200,Analyze and understand data to influence product or business decisions
205,Analyze and understand data to influence product or business decisions
210,Analyze and understand data to influence product or business decisions
212,Analyze and understand data to influence product or business decisions
213,Analyze and understand data to influence product or business decisions
229,Analyze and understand data to influence product or business decisions
237,Analyze and understand data to influence product or business decisions
240,Analyze and understand data to influence product or business decisions
243,Analyze and understand data to influence product or business decisions
246,Analyze and understand data to influence product or business decisions
250,Analyze and understand data to influence product or business decisions
254,Analyze and understand data to influence product or business decisions
257,Analyze and understand data to influence product or business decisions
261,Analyze and understand data to influence product or business decisions
268,Analyze and understand data to influence product or business decisions
269,Analyze and understand data to influence product or business decisions
271,Analyze and understand data to influence product or business decisions
273,Analyze and understand data to influence product or business decisions
282,Analyze and understand data to influence product or business decisions
289,Analyze and understand data to influence product or business decisions
290,Analyze and understand data to influence product or business decisions
296,Analyze and understand data to influence product or business decisions
298,Analyze and understand data to influence product or business decisions
303,Analyze and understand data to influence product or business decisions
308,Analyze and understand data to influence product or business decisions
313,Analyze and understand data to influence product or business decisions
318,Analyze and understand data to influence product or business decisions
328,Analyze and understand data to influence product or business decisions
334,Analyze and understand data to influence product or business decisions
336,Analyze and understand data to influence product or business decisions
340,Analyze and understand data to influence product or business decisions
345,Analyze and understand data to influence product or business decisions
347,Analyze and understand data to influence product or business decisions
349,Analyze and understand data to influence product or business decisions
350,Analyze and understand data to influence product or business decisions
370,Analyze and understand data to influence product or business decisions
373,Analyze and understand data to influence product or business decisions
377,Analyze and understand data to influence product or business decisions
378,Analyze and understand data to influence product or business decisions
389,Analyze and understand data to influence product or business decisions
398,Analyze and understand data to influence product or business decisions
399,Analyze and understand data to influence product or business decisions
402,Analyze and understand data to influence product or business decisions
408,Analyze and understand data to influence product or business decisions
415,Analyze and understand data to influence product or business decisions
418,Analyze and understand data to influence product or business decisions
420,Analyze and understand data to influence product or business decisions
433,Analyze and understand data to influence product or business decisions
434,Analyze and understand data to influence product or business decisions
436,Analyze and understand data to influence product or business decisions
439,Analyze and understand data to influence product or business decisions
440,Analyze and understand data to influence product or business decisions
447,Analyze and understand data to influence product or business decisions
449,Analyze and understand data to influence product or business decisions
450,Analyze and understand data to influence product or business decisions
451,Analyze and understand data to influence product or business decisions
