ID,ML Products
29, Amazon SageMaker 
83, Amazon SageMaker 
110, Amazon SageMaker 
244, Amazon SageMaker 
246, Amazon SageMaker 
268, Amazon SageMaker 
336, Amazon SageMaker 
378, Amazon SageMaker 
399, Amazon SageMaker 
415, Amazon SageMaker 
425, Amazon SageMaker 
448, Amazon SageMaker 
557, Amazon SageMaker 
626, Amazon SageMaker 
633, Amazon SageMaker 
634, Amazon SageMaker 
643, Amazon SageMaker 
705, Amazon SageMaker 
728, Amazon SageMaker 
740, Amazon SageMaker 
755, Amazon SageMaker 
772, Amazon SageMaker 
816, Amazon SageMaker 
826, Amazon SageMaker 
836, Amazon SageMaker 
913, Amazon SageMaker 
932, Amazon SageMaker 
945, Amazon SageMaker 
952, Amazon SageMaker 
962, Amazon SageMaker 
1043, Amazon SageMaker 
1072, Amazon SageMaker 
1080, Amazon SageMaker 
1111, Amazon SageMaker 
1127, Amazon SageMaker 
1151, Amazon SageMaker 
1156, Amazon SageMaker 
1188, Amazon SageMaker 
1271, Amazon SageMaker 
1305, Amazon SageMaker 
1421, Amazon SageMaker 
1470, Amazon SageMaker 
1565, Amazon SageMaker 
1621, Amazon SageMaker 
1641, Amazon SageMaker 
1746, Amazon SageMaker 
1772, Amazon SageMaker 
1774, Amazon SageMaker 
1867, Amazon SageMaker 
1923, Amazon SageMaker 
2035, Amazon SageMaker 
2057, Amazon SageMaker 
2096, Amazon SageMaker 
2249, Amazon SageMaker 
2250, Amazon SageMaker 
2266, Amazon SageMaker 
2272, Amazon SageMaker 
2356, Amazon SageMaker 
2371, Amazon SageMaker 
2462, Amazon SageMaker 
2526, Amazon SageMaker 
2615, Amazon SageMaker 
2620, Amazon SageMaker 
2642, Amazon SageMaker 
2650, Amazon SageMaker 
2689, Amazon SageMaker 
2721, Amazon SageMaker 
2809, Amazon SageMaker 
2818, Amazon SageMaker 
2857, Amazon SageMaker 
2862, Amazon SageMaker 
2887, Amazon SageMaker 
2894, Amazon SageMaker 
2924, Amazon SageMaker 
3012, Amazon SageMaker 
3128, Amazon SageMaker 
3286, Amazon SageMaker 
3294, Amazon SageMaker 
3375, Amazon SageMaker 
3408, Amazon SageMaker 
3442, Amazon SageMaker 
3519, Amazon SageMaker 
3520, Amazon SageMaker 
3522, Amazon SageMaker 
3542, Amazon SageMaker 
3562, Amazon SageMaker 
3601, Amazon SageMaker 
3642, Amazon SageMaker 
3657, Amazon SageMaker 
3682, Amazon SageMaker 
3687, Amazon SageMaker 
3739, Amazon SageMaker 
3775, Amazon SageMaker 
3889, Amazon SageMaker 
3964, Amazon SageMaker 
3984, Amazon SageMaker 
4008, Amazon SageMaker 
4020, Amazon SageMaker 
4059, Amazon SageMaker 
4130, Amazon SageMaker 
4319, Amazon SageMaker 
4322, Amazon SageMaker 
4325, Amazon SageMaker 
4390, Amazon SageMaker 
4423, Amazon SageMaker 
4429, Amazon SageMaker 
4466, Amazon SageMaker 
4473, Amazon SageMaker 
4474, Amazon SageMaker 
4552, Amazon SageMaker 
4588, Amazon SageMaker 
4612, Amazon SageMaker 
4622, Amazon SageMaker 
4623, Amazon SageMaker 
4648, Amazon SageMaker 
4657, Amazon SageMaker 
4734, Amazon SageMaker 
4794, Amazon SageMaker 
4892, Amazon SageMaker 
4913, Amazon SageMaker 
4951, Amazon SageMaker 
4974, Amazon SageMaker 
4981, Amazon SageMaker 
4997, Amazon SageMaker 
5007, Amazon SageMaker 
5015, Amazon SageMaker 
5065, Amazon SageMaker 
5094, Amazon SageMaker 
5143, Amazon SageMaker 
5163, Amazon SageMaker 
5194, Amazon SageMaker 
5263, Amazon SageMaker 
5294, Amazon SageMaker 
5314, Amazon SageMaker 
5331, Amazon SageMaker 
5350, Amazon SageMaker 
5353, Amazon SageMaker 
5357, Amazon SageMaker 
5378, Amazon SageMaker 
5430, Amazon SageMaker 
5624, Amazon SageMaker 
5650, Amazon SageMaker 
5652, Amazon SageMaker 
5654, Amazon SageMaker 
5675, Amazon SageMaker 
5707, Amazon SageMaker 
5825, Amazon SageMaker 
5853, Amazon SageMaker 
5919, Amazon SageMaker 
5989, Amazon SageMaker 
6000, Amazon SageMaker 
6002, Amazon SageMaker 
6040, Amazon SageMaker 
6044, Amazon SageMaker 
6101, Amazon SageMaker 
6131, Amazon SageMaker 
6132, Amazon SageMaker 
6139, Amazon SageMaker 
6164, Amazon SageMaker 
6196, Amazon SageMaker 
6217, Amazon SageMaker 
6258, Amazon SageMaker 
6276, Amazon SageMaker 
6299, Amazon SageMaker 
6317, Amazon SageMaker 
6425, Amazon SageMaker 
6494, Amazon SageMaker 
6496, Amazon SageMaker 
6530, Amazon SageMaker 
6533, Amazon SageMaker 
6595, Amazon SageMaker 
6600, Amazon SageMaker 
6642, Amazon SageMaker 
6673, Amazon SageMaker 
6693, Amazon SageMaker 
6757, Amazon SageMaker 
6800, Amazon SageMaker 
6819, Amazon SageMaker 
6919, Amazon SageMaker 
6955, Amazon SageMaker 
7003, Amazon SageMaker 
7009, Amazon SageMaker 
7037, Amazon SageMaker 
7041, Amazon SageMaker 
7058, Amazon SageMaker 
7092, Amazon SageMaker 
7112, Amazon SageMaker 
7119, Amazon SageMaker 
7171, Amazon SageMaker 
7178, Amazon SageMaker 
7196, Amazon SageMaker 
7388, Amazon SageMaker 
7392, Amazon SageMaker 
7420, Amazon SageMaker 
7433, Amazon SageMaker 
7514, Amazon SageMaker 
7521, Amazon SageMaker 
7580, Amazon SageMaker 
7582, Amazon SageMaker 
7583, Amazon SageMaker 
7602, Amazon SageMaker 
7613, Amazon SageMaker 
7691, Amazon SageMaker 
7709, Amazon SageMaker 
7748, Amazon SageMaker 
7777, Amazon SageMaker 
7803, Amazon SageMaker 
7848, Amazon SageMaker 
7852, Amazon SageMaker 
7880, Amazon SageMaker 
7882, Amazon SageMaker 
7957, Amazon SageMaker 
8033, Amazon SageMaker 
8049, Amazon SageMaker 
8084, Amazon SageMaker 
8091, Amazon SageMaker 
8106, Amazon SageMaker 
8115, Amazon SageMaker 
8189, Amazon SageMaker 
8237, Amazon SageMaker 
8241, Amazon SageMaker 
8257, Amazon SageMaker 
8293, Amazon SageMaker 
8542, Amazon SageMaker 
8611, Amazon SageMaker 
8624, Amazon SageMaker 
8656, Amazon SageMaker 
8706, Amazon SageMaker 
8837, Amazon SageMaker 
8860, Amazon SageMaker 
8893, Amazon SageMaker 
8897, Amazon SageMaker 
8938, Amazon SageMaker 
9028, Amazon SageMaker 
9071, Amazon SageMaker 
9092, Amazon SageMaker 
9163, Amazon SageMaker 
9273, Amazon SageMaker 
9343, Amazon SageMaker 
9394, Amazon SageMaker 
9467, Amazon SageMaker 
9632, Amazon SageMaker 
9669, Amazon SageMaker 
9681, Amazon SageMaker 
9682, Amazon SageMaker 
9794, Amazon SageMaker 
9987, Amazon SageMaker 
9993, Amazon SageMaker 
10183, Amazon SageMaker 
10239, Amazon SageMaker 
10389, Amazon SageMaker 
10434, Amazon SageMaker 
10529, Amazon SageMaker 
10541, Amazon SageMaker 
10555, Amazon SageMaker 
10588, Amazon SageMaker 
10612, Amazon SageMaker 
10650, Amazon SageMaker 
10667, Amazon SageMaker 
10679, Amazon SageMaker 
10685, Amazon SageMaker 
10729, Amazon SageMaker 
10736, Amazon SageMaker 
10777, Amazon SageMaker 
10791, Amazon SageMaker 
10845, Amazon SageMaker 
10905, Amazon SageMaker 
10933, Amazon SageMaker 
11107, Amazon SageMaker 
11113, Amazon SageMaker 
11190, Amazon SageMaker 
11212, Amazon SageMaker 
11215, Amazon SageMaker 
11279, Amazon SageMaker 
11280, Amazon SageMaker 
11282, Amazon SageMaker 
11470, Amazon SageMaker 
11561, Amazon SageMaker 
11678, Amazon SageMaker 
11718, Amazon SageMaker 
11741, Amazon SageMaker 
11751, Amazon SageMaker 
11752, Amazon SageMaker 
11799, Amazon SageMaker 
11804, Amazon SageMaker 
11808, Amazon SageMaker 
11825, Amazon SageMaker 
11910, Amazon SageMaker 
11942, Amazon SageMaker 
11952, Amazon SageMaker 
11956, Amazon SageMaker 
11988, Amazon SageMaker 
12020, Amazon SageMaker 
12032, Amazon SageMaker 
12065, Amazon SageMaker 
12072, Amazon SageMaker 
12212, Amazon SageMaker 
12335, Amazon SageMaker 
12349, Amazon SageMaker 
12397, Amazon SageMaker 
12402, Amazon SageMaker 
12434, Amazon SageMaker 
12451, Amazon SageMaker 
12483, Amazon SageMaker 
12510, Amazon SageMaker 
12536, Amazon SageMaker 
12650, Amazon SageMaker 
12713, Amazon SageMaker 
12748, Amazon SageMaker 
12768, Amazon SageMaker 
12827, Amazon SageMaker 
12915, Amazon SageMaker 
12934, Amazon SageMaker 
13019, Amazon SageMaker 
13042, Amazon SageMaker 
13146, Amazon SageMaker 
13195, Amazon SageMaker 
13215, Amazon SageMaker 
13238, Amazon SageMaker 
13273, Amazon SageMaker 
13400, Amazon SageMaker 
13414, Amazon SageMaker 
13446, Amazon SageMaker 
13475, Amazon SageMaker 
13524, Amazon SageMaker 
13637, Amazon SageMaker 
13697, Amazon SageMaker 
13708, Amazon SageMaker 
13709, Amazon SageMaker 
13717, Amazon SageMaker 
13831, Amazon SageMaker 
13845, Amazon SageMaker 
13964, Amazon SageMaker 
14011, Amazon SageMaker 
14073, Amazon SageMaker 
14083, Amazon SageMaker 
14097, Amazon SageMaker 
14120, Amazon SageMaker 
14359, Amazon SageMaker 
14422, Amazon SageMaker 
14423, Amazon SageMaker 
14452, Amazon SageMaker 
14508, Amazon SageMaker 
14551, Amazon SageMaker 
14553, Amazon SageMaker 
14591, Amazon SageMaker 
14595, Amazon SageMaker 
14613, Amazon SageMaker 
14733, Amazon SageMaker 
14750, Amazon SageMaker 
14788, Amazon SageMaker 
14795, Amazon SageMaker 
14834, Amazon SageMaker 
14871, Amazon SageMaker 
14917, Amazon SageMaker 
14960, Amazon SageMaker 
14965, Amazon SageMaker 
14971, Amazon SageMaker 
14983, Amazon SageMaker 
15049, Amazon SageMaker 
15058, Amazon SageMaker 
15144, Amazon SageMaker 
15148, Amazon SageMaker 
15320, Amazon SageMaker 
15333, Amazon SageMaker 
15369, Amazon SageMaker 
15399, Amazon SageMaker 
15473, Amazon SageMaker 
15650, Amazon SageMaker 
15651, Amazon SageMaker 
15732, Amazon SageMaker 
15750, Amazon SageMaker 
15796, Amazon SageMaker 
15829, Amazon SageMaker 
15839, Amazon SageMaker 
15852, Amazon SageMaker 
15867, Amazon SageMaker 
15868, Amazon SageMaker 
15904, Amazon SageMaker 
15927, Amazon SageMaker 
15970, Amazon SageMaker 
15980, Amazon SageMaker 
15992, Amazon SageMaker 
16129, Amazon SageMaker 
16175, Amazon SageMaker 
16232, Amazon SageMaker 
16423, Amazon SageMaker 
16499, Amazon SageMaker 
16622, Amazon SageMaker 
16662, Amazon SageMaker 
16757, Amazon SageMaker 
16762, Amazon SageMaker 
16781, Amazon SageMaker 
16807, Amazon SageMaker 
17007, Amazon SageMaker 
17025, Amazon SageMaker 
17066, Amazon SageMaker 
17090, Amazon SageMaker 
17141, Amazon SageMaker 
17154, Amazon SageMaker 
17237, Amazon SageMaker 
17246, Amazon SageMaker 
17329, Amazon SageMaker 
17331, Amazon SageMaker 
17352, Amazon SageMaker 
17386, Amazon SageMaker 
17398, Amazon SageMaker 
17414, Amazon SageMaker 
17465, Amazon SageMaker 
17567, Amazon SageMaker 
17571, Amazon SageMaker 
17572, Amazon SageMaker 
17600, Amazon SageMaker 
17640, Amazon SageMaker 
17658, Amazon SageMaker 
17662, Amazon SageMaker 
17724, Amazon SageMaker 
17727, Amazon SageMaker 
17743, Amazon SageMaker 
17744, Amazon SageMaker 
17780, Amazon SageMaker 
18018, Amazon SageMaker 
18029, Amazon SageMaker 
18056, Amazon SageMaker 
18092, Amazon SageMaker 
18113, Amazon SageMaker 
18235, Amazon SageMaker 
18285, Amazon SageMaker 
18290, Amazon SageMaker 
18327, Amazon SageMaker 
18337, Amazon SageMaker 
18349, Amazon SageMaker 
18370, Amazon SageMaker 
18395, Amazon SageMaker 
18413, Amazon SageMaker 
18502, Amazon SageMaker 
18532, Amazon SageMaker 
18569, Amazon SageMaker 
18596, Amazon SageMaker 
18608, Amazon SageMaker 
18933, Amazon SageMaker 
18966, Amazon SageMaker 
19006, Amazon SageMaker 
19074, Amazon SageMaker 
19090, Amazon SageMaker 
19097, Amazon SageMaker 
19165, Amazon SageMaker 
19200, Amazon SageMaker 
19204, Amazon SageMaker 
19217, Amazon SageMaker 
19282, Amazon SageMaker 
19288, Amazon SageMaker 
19306, Amazon SageMaker 
19308, Amazon SageMaker 
19401, Amazon SageMaker 
19418, Amazon SageMaker 
19452, Amazon SageMaker 
19468, Amazon SageMaker 
19472, Amazon SageMaker 
19501, Amazon SageMaker 
19514, Amazon SageMaker 
19527, Amazon SageMaker 
19542, Amazon SageMaker 
19600, Amazon SageMaker 
19635, Amazon SageMaker 
19641, Amazon SageMaker 
19645, Amazon SageMaker 
19664, Amazon SageMaker 
19682, Amazon SageMaker 
19688, Amazon SageMaker 
19722, Amazon SageMaker 
19760, Amazon SageMaker 
19781, Amazon SageMaker 
19823, Amazon SageMaker 
19883, Amazon SageMaker 
19884, Amazon SageMaker 
19909, Amazon SageMaker 
20089, Amazon SageMaker 
20100, Amazon SageMaker 
20124, Amazon SageMaker 
20137, Amazon SageMaker 
20156, Amazon SageMaker 
20243, Amazon SageMaker 
20394, Amazon SageMaker 
20395, Amazon SageMaker 
20506, Amazon SageMaker 
20512, Amazon SageMaker 
20532, Amazon SageMaker 
20536, Amazon SageMaker 
20554, Amazon SageMaker 
20658, Amazon SageMaker 
20766, Amazon SageMaker 
20809, Amazon SageMaker 
20948, Amazon SageMaker 
21018, Amazon SageMaker 
21058, Amazon SageMaker 
21061, Amazon SageMaker 
21063, Amazon SageMaker 
21065, Amazon SageMaker 
21095, Amazon SageMaker 
21124, Amazon SageMaker 
21144, Amazon SageMaker 
21153, Amazon SageMaker 
21166, Amazon SageMaker 
21193, Amazon SageMaker 
21253, Amazon SageMaker 
21350, Amazon SageMaker 
21364, Amazon SageMaker 
21379, Amazon SageMaker 
21568, Amazon SageMaker 
21616, Amazon SageMaker 
21671, Amazon SageMaker 
21773, Amazon SageMaker 
21780, Amazon SageMaker 
21789, Amazon SageMaker 
21887, Amazon SageMaker 
21934, Amazon SageMaker 
22028, Amazon SageMaker 
22039, Amazon SageMaker 
22068, Amazon SageMaker 
22091, Amazon SageMaker 
22116, Amazon SageMaker 
22195, Amazon SageMaker 
22224, Amazon SageMaker 
22247, Amazon SageMaker 
22251, Amazon SageMaker 
22281, Amazon SageMaker 
22403, Amazon SageMaker 
22437, Amazon SageMaker 
22463, Amazon SageMaker 
22531, Amazon SageMaker 
22615, Amazon SageMaker 
22651, Amazon SageMaker 
22667, Amazon SageMaker 
22711, Amazon SageMaker 
22763, Amazon SageMaker 
22855, Amazon SageMaker 
22879, Amazon SageMaker 
22880, Amazon SageMaker 
22905, Amazon SageMaker 
23019, Amazon SageMaker 
23160, Amazon SageMaker 
23164, Amazon SageMaker 
23230, Amazon SageMaker 
23240, Amazon SageMaker 
23286, Amazon SageMaker 
23288, Amazon SageMaker 
23318, Amazon SageMaker 
23473, Amazon SageMaker 
23492, Amazon SageMaker 
23553, Amazon SageMaker 
23561, Amazon SageMaker 
23603, Amazon SageMaker 
23617, Amazon SageMaker 
23662, Amazon SageMaker 
23711, Amazon SageMaker 
23746, Amazon SageMaker 
23809, Amazon SageMaker 
23815, Amazon SageMaker 
23818, Amazon SageMaker 
23836, Amazon SageMaker 
25, Azure Machine Learning Studio 
114, Azure Machine Learning Studio 
159, Azure Machine Learning Studio 
213, Azure Machine Learning Studio 
244, Azure Machine Learning Studio 
261, Azure Machine Learning Studio 
273, Azure Machine Learning Studio 
296, Azure Machine Learning Studio 
336, Azure Machine Learning Studio 
537, Azure Machine Learning Studio 
557, Azure Machine Learning Studio 
633, Azure Machine Learning Studio 
679, Azure Machine Learning Studio 
705, Azure Machine Learning Studio 
811, Azure Machine Learning Studio 
826, Azure Machine Learning Studio 
893, Azure Machine Learning Studio 
928, Azure Machine Learning Studio 
945, Azure Machine Learning Studio 
952, Azure Machine Learning Studio 
1019, Azure Machine Learning Studio 
1250, Azure Machine Learning Studio 
1275, Azure Machine Learning Studio 
1469, Azure Machine Learning Studio 
1470, Azure Machine Learning Studio 
1570, Azure Machine Learning Studio 
1585, Azure Machine Learning Studio 
1750, Azure Machine Learning Studio 
1774, Azure Machine Learning Studio 
1788, Azure Machine Learning Studio 
1810, Azure Machine Learning Studio 
1815, Azure Machine Learning Studio 
1818, Azure Machine Learning Studio 
1863, Azure Machine Learning Studio 
1883, Azure Machine Learning Studio 
1890, Azure Machine Learning Studio 
1989, Azure Machine Learning Studio 
2218, Azure Machine Learning Studio 
2249, Azure Machine Learning Studio 
2284, Azure Machine Learning Studio 
2372, Azure Machine Learning Studio 
2425, Azure Machine Learning Studio 
2524, Azure Machine Learning Studio 
2549, Azure Machine Learning Studio 
2704, Azure Machine Learning Studio 
2770, Azure Machine Learning Studio 
2862, Azure Machine Learning Studio 
2961, Azure Machine Learning Studio 
2965, Azure Machine Learning Studio 
2997, Azure Machine Learning Studio 
3138, Azure Machine Learning Studio 
3244, Azure Machine Learning Studio 
3245, Azure Machine Learning Studio 
3286, Azure Machine Learning Studio 
3365, Azure Machine Learning Studio 
3375, Azure Machine Learning Studio 
3397, Azure Machine Learning Studio 
3519, Azure Machine Learning Studio 
3522, Azure Machine Learning Studio 
3639, Azure Machine Learning Studio 
3642, Azure Machine Learning Studio 
3682, Azure Machine Learning Studio 
3739, Azure Machine Learning Studio 
3754, Azure Machine Learning Studio 
3756, Azure Machine Learning Studio 
3779, Azure Machine Learning Studio 
3798, Azure Machine Learning Studio 
3870, Azure Machine Learning Studio 
4046, Azure Machine Learning Studio 
4065, Azure Machine Learning Studio 
4130, Azure Machine Learning Studio 
4156, Azure Machine Learning Studio 
4229, Azure Machine Learning Studio 
4261, Azure Machine Learning Studio 
4298, Azure Machine Learning Studio 
4325, Azure Machine Learning Studio 
4390, Azure Machine Learning Studio 
4466, Azure Machine Learning Studio 
4467, Azure Machine Learning Studio 
4529, Azure Machine Learning Studio 
4590, Azure Machine Learning Studio 
4591, Azure Machine Learning Studio 
4612, Azure Machine Learning Studio 
4622, Azure Machine Learning Studio 
4768, Azure Machine Learning Studio 
4806, Azure Machine Learning Studio 
4848, Azure Machine Learning Studio 
4863, Azure Machine Learning Studio 
4872, Azure Machine Learning Studio 
4945, Azure Machine Learning Studio 
4997, Azure Machine Learning Studio 
5052, Azure Machine Learning Studio 
5055, Azure Machine Learning Studio 
5254, Azure Machine Learning Studio 
5294, Azure Machine Learning Studio 
5314, Azure Machine Learning Studio 
5347, Azure Machine Learning Studio 
5410, Azure Machine Learning Studio 
5521, Azure Machine Learning Studio 
5627, Azure Machine Learning Studio 
5650, Azure Machine Learning Studio 
5652, Azure Machine Learning Studio 
5689, Azure Machine Learning Studio 
5690, Azure Machine Learning Studio 
5748, Azure Machine Learning Studio 
5820, Azure Machine Learning Studio 
5826, Azure Machine Learning Studio 
5836, Azure Machine Learning Studio 
5907, Azure Machine Learning Studio 
5975, Azure Machine Learning Studio 
5989, Azure Machine Learning Studio 
6024, Azure Machine Learning Studio 
6045, Azure Machine Learning Studio 
6131, Azure Machine Learning Studio 
6132, Azure Machine Learning Studio 
6139, Azure Machine Learning Studio 
6262, Azure Machine Learning Studio 
6265, Azure Machine Learning Studio 
6299, Azure Machine Learning Studio 
6321, Azure Machine Learning Studio 
6401, Azure Machine Learning Studio 
6533, Azure Machine Learning Studio 
6572, Azure Machine Learning Studio 
6586, Azure Machine Learning Studio 
6600, Azure Machine Learning Studio 
6620, Azure Machine Learning Studio 
6848, Azure Machine Learning Studio 
6880, Azure Machine Learning Studio 
6897, Azure Machine Learning Studio 
6950, Azure Machine Learning Studio 
7037, Azure Machine Learning Studio 
7085, Azure Machine Learning Studio 
7296, Azure Machine Learning Studio 
7558, Azure Machine Learning Studio 
7582, Azure Machine Learning Studio 
7725, Azure Machine Learning Studio 
7890, Azure Machine Learning Studio 
7908, Azure Machine Learning Studio 
7994, Azure Machine Learning Studio 
8033, Azure Machine Learning Studio 
8059, Azure Machine Learning Studio 
8060, Azure Machine Learning Studio 
8084, Azure Machine Learning Studio 
8105, Azure Machine Learning Studio 
8272, Azure Machine Learning Studio 
8312, Azure Machine Learning Studio 
8361, Azure Machine Learning Studio 
8373, Azure Machine Learning Studio 
8410, Azure Machine Learning Studio 
8453, Azure Machine Learning Studio 
