ID,ML algorithms
2,Linear or Logistic Regression
5,Linear or Logistic Regression
6,Linear or Logistic Regression
7,Linear or Logistic Regression
8,Linear or Logistic Regression
9,Linear or Logistic Regression
10,Linear or Logistic Regression
13,Linear or Logistic Regression
16,Linear or Logistic Regression
17,Linear or Logistic Regression
18,Linear or Logistic Regression
19,Linear or Logistic Regression
24,Linear or Logistic Regression
25,Linear or Logistic Regression
26,Linear or Logistic Regression
27,Linear or Logistic Regression
28,Linear or Logistic Regression
29,Linear or Logistic Regression
32,Linear or Logistic Regression
39,Linear or Logistic Regression
40,Linear or Logistic Regression
42,Linear or Logistic Regression
45,Linear or Logistic Regression
48,Linear or Logistic Regression
52,Linear or Logistic Regression
54,Linear or Logistic Regression
56,Linear or Logistic Regression
57,Linear or Logistic Regression
59,Linear or Logistic Regression
63,Linear or Logistic Regression
64,Linear or Logistic Regression
72,Linear or Logistic Regression
75,Linear or Logistic Regression
77,Linear or Logistic Regression
80,Linear or Logistic Regression
81,Linear or Logistic Regression
83,Linear or Logistic Regression
85,Linear or Logistic Regression
86,Linear or Logistic Regression
87,Linear or Logistic Regression
88,Linear or Logistic Regression
92,Linear or Logistic Regression
98,Linear or Logistic Regression
99,Linear or Logistic Regression
102,Linear or Logistic Regression
104,Linear or Logistic Regression
108,Linear or Logistic Regression
113,Linear or Logistic Regression
114,Linear or Logistic Regression
120,Linear or Logistic Regression
123,Linear or Logistic Regression
126,Linear or Logistic Regression
127,Linear or Logistic Regression
129,Linear or Logistic Regression
131,Linear or Logistic Regression
133,Linear or Logistic Regression
136,Linear or Logistic Regression
139,Linear or Logistic Regression
140,Linear or Logistic Regression
141,Linear or Logistic Regression
147,Linear or Logistic Regression
151,Linear or Logistic Regression
152,Linear or Logistic Regression
159,Linear or Logistic Regression
160,Linear or Logistic Regression
163,Linear or Logistic Regression
165,Linear or Logistic Regression
167,Linear or Logistic Regression
168,Linear or Logistic Regression
169,Linear or Logistic Regression
170,Linear or Logistic Regression
172,Linear or Logistic Regression
174,Linear or Logistic Regression
176,Linear or Logistic Regression
177,Linear or Logistic Regression
182,Linear or Logistic Regression
184,Linear or Logistic Regression
185,Linear or Logistic Regression
187,Linear or Logistic Regression
191,Linear or Logistic Regression
192,Linear or Logistic Regression
194,Linear or Logistic Regression
195,Linear or Logistic Regression
198,Linear or Logistic Regression
200,Linear or Logistic Regression
202,Linear or Logistic Regression
205,Linear or Logistic Regression
208,Linear or Logistic Regression
209,Linear or Logistic Regression
210,Linear or Logistic Regression
213,Linear or Logistic Regression
214,Linear or Logistic Regression
215,Linear or Logistic Regression
219,Linear or Logistic Regression
221,Linear or Logistic Regression
222,Linear or Logistic Regression
228,Linear or Logistic Regression
231,Linear or Logistic Regression
233,Linear or Logistic Regression
237,Linear or Logistic Regression
239,Linear or Logistic Regression
242,Linear or Logistic Regression
243,Linear or Logistic Regression
244,Linear or Logistic Regression
245,Linear or Logistic Regression
246,Linear or Logistic Regression
247,Linear or Logistic Regression
248,Linear or Logistic Regression
