ID,ML on research
11,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
13,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
19,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
48,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
52,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
59,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
69,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
103,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
105,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
108,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
115,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
144,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
206,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
214,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
231,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
236,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
254,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
266,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
275,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
302,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
330,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
386,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
394,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
399,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
420,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
425,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
440,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
443,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
447,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
495,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
568,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
569,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
572,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
590,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
617,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
632,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
637,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
666,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
679,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
682,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
684,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
687,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
695,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
696,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
705,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
707,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
719,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
726,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
728,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
766,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
769,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
772,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
787,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
788,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
851,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
889,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
892,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
912,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
936,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
944,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
960,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
993,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1012,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1013,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1050,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1074,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1075,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1081,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1113,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1117,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1130,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1137,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1144,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1151,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1201,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1213,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1269,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1281,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1289,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1334,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1370,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1427,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1461,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1521,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1540,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
1545,"Yes, the research made advances related to some novel machine learning method (theoretical research)"
