ID,NLP methods
3,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
7,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
9,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
13,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
16,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
18,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
32,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
35,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
41,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
43,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
67,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
83,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
86,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
110,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
123,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
127,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
131,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
133,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
135,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
152,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
155,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
200,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
254,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
271,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
273,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
283,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
285,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
297,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
302,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
337,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
338,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
347,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
367,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
384,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
388,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
389,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
393,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
403,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
406,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
418,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
425,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
428,"Word embeddings/vectors (GLoVe, fastText, word2vec)"
