ID,deploy ML platform
43, TensorFlow Extended (TFX) 
48, TensorFlow Extended (TFX) 
57, TensorFlow Extended (TFX) 
110, TensorFlow Extended (TFX) 
203, TensorFlow Extended (TFX) 
237, TensorFlow Extended (TFX) 
350, TensorFlow Extended (TFX) 
378, TensorFlow Extended (TFX) 
389, TensorFlow Extended (TFX) 
402, TensorFlow Extended (TFX) 
415, TensorFlow Extended (TFX) 
425, TensorFlow Extended (TFX) 
447, TensorFlow Extended (TFX) 
448, TensorFlow Extended (TFX) 
449, TensorFlow Extended (TFX) 
450, TensorFlow Extended (TFX) 
483, TensorFlow Extended (TFX) 
557, TensorFlow Extended (TFX) 
621, TensorFlow Extended (TFX) 
633, TensorFlow Extended (TFX) 
634, TensorFlow Extended (TFX) 
643, TensorFlow Extended (TFX) 
644, TensorFlow Extended (TFX) 
652, TensorFlow Extended (TFX) 
693, TensorFlow Extended (TFX) 
711, TensorFlow Extended (TFX) 
733, TensorFlow Extended (TFX) 
753, TensorFlow Extended (TFX) 
787, TensorFlow Extended (TFX) 
806, TensorFlow Extended (TFX) 
867, TensorFlow Extended (TFX) 
886, TensorFlow Extended (TFX) 
893, TensorFlow Extended (TFX) 
952, TensorFlow Extended (TFX) 
1016, TensorFlow Extended (TFX) 
1060, TensorFlow Extended (TFX) 
1093, TensorFlow Extended (TFX) 
1141, TensorFlow Extended (TFX) 
1189, TensorFlow Extended (TFX) 
1227, TensorFlow Extended (TFX) 
1354, TensorFlow Extended (TFX) 
1469, TensorFlow Extended (TFX) 
1470, TensorFlow Extended (TFX) 
1573, TensorFlow Extended (TFX) 
1621, TensorFlow Extended (TFX) 
1639, TensorFlow Extended (TFX) 
1641, TensorFlow Extended (TFX) 
1654, TensorFlow Extended (TFX) 
1670, TensorFlow Extended (TFX) 
1725, TensorFlow Extended (TFX) 
1772, TensorFlow Extended (TFX) 
1810, TensorFlow Extended (TFX) 
1824, TensorFlow Extended (TFX) 
1848, TensorFlow Extended (TFX) 
1862, TensorFlow Extended (TFX) 
1890, TensorFlow Extended (TFX) 
1921, TensorFlow Extended (TFX) 
