ID,Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,"Are you currently a student? (high school, university, or graduate)","Have you ever published any academic research (papers, preprints, conference proceedings, etc)?",For how many years have you been writing code and/or programming?,For how many years have you used machine learning methods?,Which of the following ML model hubs/repositories do you use most often? - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,In what industry is your current employer/contract (or your most recent employer if retired)? - Selected Choice,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,"Approximately how much money have you spent on machine learning and/or cloud computing services at home or at work in the past 5 years (approximate $USD)?
 (approximate $USD)?","Of the cloud platforms that you are familiar with, which has the best developer experience (most enjoyable to use)? - Selected Choice",Approximately how many times have you used a TPU (tensor processing unit)?
0,121,30-34,Man,India,No,,,,,,,,,,,,,
1,462,30-34,Man,Algeria,No,Yes,1-3 years,Under 1 year,,,,,,,,,,
2,293,18-21,Man,Egypt,Yes,,1-3 years,1-2 years,,,,,,,,,,
3,851,55-59,Man,France,No,,10-20 years,1-2 years, Huggingface Models ,Data Scientist,Online Service/Internet-based Services,0-49 employees,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999","$1000-$9,999",,2-5 times
4,232,45-49,Man,India,Yes,,5-10 years,I do not use machine learning methods,,,,,,,,,,
5,277,18-21,Woman,India,Yes,No,1-3 years,1-2 years, Kaggle datasets ,,,,,,,,,
6,1550,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
7,501,30-34,Man,Germany,No,,10-20 years,4-5 years, Huggingface Models ,Software Engineer,Insurance/Risk Assessment,250-999 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",$0 ($USD),,
8,787,70+,Man,Australia,No,Yes,20+ years,5-10 years,,Research Scientist,Government/Public Service,"1000-9,999 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",$100-$999,They all had a similarly enjoyable developer experience,Never
9,222,22-24,Man,Other,Yes,,3-5 years,3-4 years,  TensorFlow Hub ,,,,,,,,,
10,470,55-59,Man,South Korea,No,No,1-3 years,1-2 years,,Other,Manufacturing/Fabrication,"10,000 or more employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",,,,
11,369,55-59,Man,Egypt,Yes,Yes,3-5 years,3-4 years,  TensorFlow Hub ,,,,,,,,,
12,7548,35-39,Man,India,No,No,1-3 years,,,,,,,,,,,
13,1132,40-44,Man,United States of America,No,Yes,10-20 years,5-10 years,,Developer Advocate,Computers/Technology,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",$100-$999,They all had a similarly enjoyable developer experience,2-5 times
14,414,35-39,Man,Pakistan,Yes,No,< 1 years,1-2 years,,,,,,,,,,
15,171,22-24,Man,Mexico,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
16,679,40-44,Man,United States of America,No,Yes,10-20 years,5-10 years,,Data Scientist,Computers/Technology,"1000-9,999 employees",3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999","$100,000 or more ($USD)", Microsoft Azure ,More than 25 times
